# in Cohort,% Dropped Out,% Graduated,% H.S. Equiv.,% Non-Grad Completers,% Permanently Excluded,% Still in School,District Code,District Name,Year
       126,6.3,70.6,0.8,0.0,0.0,22.2,3040000,Uxbridge,2015
       510,1.6,94.7,1.2,0.6,0.0,2.0,7750000,Wachusett,2015
       277,2.2,92.4,1.1,0.0,0.0,4.3,3050000,Wakefield,2015
       306,1.0,95.1,0.3,0.0,0.0,3.6,3070000,Walpole,2015
       347,7.5,82.7,0.9,4.6,0.0,4.3,3080000,Waltham,2015
        60,10.0,70.0,5.0,0.0,1.7,13.3,3090000,Ware,2015
       174,14.9,73.0,2.9,0.6,0.0,8.6,3100000,Wareham,2015
       196,4.6,88.8,0.0,1.5,0.0,5.1,3140000,Watertown,2015
       209,0.0,99.0,0.0,0.5,0.0,0.5,3150000,Wayland,2015
       126,22.2,69.8,2.4,0.8,0.0,4.8,3160000,Webster,2015
       338,0.6,96.2,0.0,0.0,0.0,3.3,3170000,Wellesley,2015
        70,4.3,92.9,1.4,0.0,0.0,1.4,3220000,West Boylston,2015
       101,0.0,97.0,1.0,0.0,0.0,2.0,3230000,West Bridgewater,2015
       301,8.3,80.7,1.0,3.0,0.7,6.3,3320000,West Springfield,2015
       300,1.7,95.3,0.0,0.3,0.0,2.7,3210000,Westborough,2015
       496,4.8,86.3,0.4,2.6,0.0,5.8,3250000,Westfield,2015
       428,1.6,95.8,0.0,0.2,0.2,2.1,3260000,Westford,2015
       173,0.0,100.0,0.0,0.0,0.0,0.0,3300000,Weston,2015
        92,2.2,90.2,1.1,1.1,0.0,5.4,3310000,Westport,2015
       257,0.4,96.1,0.0,0.0,0.0,3.5,3350000,Westwood,2015
       498,5.6,89.2,1.0,0.4,0.0,3.8,3360000,Weymouth,2015
       282,1.1,94.7,0.4,0.0,0.0,3.9,7800000,Whitman-Hanson,2015
       299,2.3,97.3,0.3,0.0,0.0,0.0,8850000,Whittier Regional Vocational Technical,2015
       258,0.8,93.4,0.4,0.8,0.0,4.7,3420000,Wilmington,2015
        84,9.5,75.0,0.0,1.2,0.0,14.3,3430000,Winchendon,2015
       278,0.4,95.0,1.1,0.7,0.0,2.9,3440000,Winchester,2015
       136,5.9,86.0,2.2,0.7,0.0,5.1,3460000,Winthrop,2015
       329,4.9,88.8,1.8,0.9,0.0,3.6,3470000,Woburn,2015
"     1,780",7.2,80.8,0.9,2.4,0.0,8.6,3480000,Worcester,2015
"    72,474",5.1,87.3,0.9,1.1,0.0,5.6,0,State Totals,2015
        77,2.6,96.1,0.0,1.3,0.0,0.0,4450000,Abby Kelley Foster Charter Public (District),2016
       118,4.2,92.4,0.8,0.0,0.0,2.5,10000,Abington,2016
        56,0.0,91.1,1.8,0.0,0.0,7.1,4120000,Academy Of the Pacific Rim Charter Public (District),2016
       487,0.8,96.9,0.0,0.0,0.0,2.3,6000000,Acton-Boxborough,2016
        72,8.3,83.3,4.2,2.8,0.0,1.4,6030000,Adams-Cheshire,2016
       181,0.0,100.0,0.0,0.0,0.0,0.0,4300000,Advanced Math and Science Academy Charter (District),2016
       340,3.8,92.6,0.3,0.9,0.0,2.4,50000,Agawam,2016
       175,1.7,90.9,0.6,0.6,0.0,6.3,70000,Amesbury,2016
       235,3.4,88.9,1.3,0.0,0.0,6.4,6050000,Amherst-Pelham,2016
       454,0.4,94.3,0.4,0.0,0.0,4.8,90000,Andover,2016
       328,1.5,95.4,0.0,0.3,0.0,2.7,100000,Arlington,2016
       171,0.0,93.0,0.0,0.0,0.0,7.0,6100000,Ashburnham-Westminster,2016
       188,1.1,93.6,1.6,0.5,0.0,3.2,140000,Ashland,2016
       246,1.6,95.9,0.8,0.0,0.0,1.6,8010000,Assabet Valley Regional Vocational Technical,2016
       112,13.4,73.2,0.9,0.0,0.9,11.6,6150000,Athol-Royalston,2016
       468,4.9,85.0,0.4,0.9,0.0,8.8,160000,Attleboro,2016
       161,0.6,96.9,0.6,0.6,0.0,1.2,170000,Auburn,2016
        48,6.3,83.3,0.0,2.1,0.0,8.3,180000,Avon,2016
        93,5.4,93.5,0.0,0.0,0.0,1.1,6160000,Ayer Shirley School District,2016
       407,7.9,82.8,0.5,2.2,0.0,6.6,200000,Barnstable,2016
       218,1.4,92.7,1.4,0.0,0.0,4.6,230000,Bedford,2016
       184,2.7,91.3,3.3,0.0,0.0,2.7,240000,Belchertown,2016
       173,4.0,88.4,1.2,1.7,0.0,4.6,250000,Bellingham,2016
       320,0.6,96.3,1.3,0.0,0.3,1.6,260000,Belmont,2016
        23,0.0,91.3,0.0,0.0,0.0,8.7,4140000,Berkshire Arts and Technology Charter Public (District),2016
       144,2.1,90.3,1.4,0.0,0.7,5.6,6180000,Berkshire Hills,2016
        72,2.8,91.7,0.0,0.0,0.0,5.6,6200000,Berlin-Boylston,2016
       362,3.6,89.5,0.8,0.3,0.0,5.8,300000,Beverly,2016
       320,3.4,91.9,2.2,0.0,0.0,2.5,310000,Billerica,2016
       289,0.7,99.3,0.0,0.0,0.0,0.0,8050000,Blackstone Valley Regional Vocational Technical,2016
       121,0.8,94.2,0.8,0.0,0.0,4.1,6220000,Blackstone-Millville,2016
       193,0.0,97.4,0.0,0.0,0.0,2.6,8060000,Blue Hills Regional Vocational Technical,2016
"     4,190",10.3,72.4,1.1,0.7,0.0,15.4,350000,Boston,2016
        59,0.0,91.5,0.0,0.0,0.0,8.5,4490000,Boston Collegiate Charter (District),2016
       153,21.6,9.8,4.6,0.7,0.0,63.4,4240000,Boston Day and Evening Academy Charter (District),2016
        64,7.8,76.6,3.1,0.0,0.0,12.5,4110000,Boston Green Academy Horace Mann Charter School (District),2016
        52,11.5,75.0,0.0,0.0,0.0,13.5,4160000,Boston Preparatory Charter Public (District),2016
       151,2.6,91.4,0.0,0.7,0.0,5.3,360000,Bourne,2016
       405,2.0,93.8,1.2,0.2,0.0,2.7,400000,Braintree,2016
       370,3.0,91.1,0.0,1.1,0.0,4.9,6250000,Bridgewater-Raynham,2016
       107,0.0,100.0,0.0,0.0,0.0,0.0,9100000,Bristol County Agricultural,2016
       314,1.9,97.1,0.3,0.0,0.0,0.6,8100000,Bristol-Plymouth Regional Vocational Technical,2016
"     1,323",7.6,79.1,0.0,5.5,0.0,7.9,440000,Brockton,2016
       447,2.0,92.8,0.9,0.0,0.0,4.3,460000,Brookline,2016
       256,0.4,95.3,0.8,0.0,0.0,3.5,480000,Burlington,2016
       490,2.4,88.8,0.0,0.4,0.0,8.4,490000,Cambridge,2016
       236,1.7,94.9,0.0,0.0,0.0,3.4,500000,Canton,2016
       154,2.6,92.9,0.6,0.0,0.0,3.9,8150000,Cape Cod Regional Vocational Technical,2016
       107,3.7,88.8,0.0,0.0,0.0,7.5,520000,Carver,2016
       131,5.3,91.6,1.5,0.0,0.0,1.5,6350000,Central Berkshire,2016
       433,2.3,94.5,0.0,0.9,0.0,2.3,560000,Chelmsford,2016
       390,21.8,59.7,2.6,3.3,0.0,12.6,570000,Chelsea,2016
       665,12.9,77.0,1.8,1.4,0.0,6.9,610000,Chicopee,2016
        59,5.1,69.5,0.0,0.0,1.7,23.7,4370000,City on a Hill Charter Public School Circuit Street (District),2016
       107,2.8,91.6,0.9,0.0,0.0,4.7,640000,Clinton,2016
        24,8.3,62.5,8.3,0.0,0.0,20.8,4380000,Codman Academy Charter Public (District),2016
       113,0.0,98.2,0.0,0.9,0.0,0.9,650000,Cohasset,2016
        53,1.9,92.5,0.0,0.0,1.9,3.8,4360000,Community Charter School of Cambridge (District),2016
       316,0.0,97.5,0.0,0.0,0.0,2.5,6400000,Concord-Carlisle,2016
       265,3.0,93.6,0.8,0.4,0.0,2.3,710000,Danvers,2016
       274,2.9,89.4,1.1,0.4,0.7,5.5,720000,Dartmouth,2016
       192,2.6,91.7,0.5,0.5,0.0,4.7,730000,Dedham,2016
       197,5.6,85.8,0.5,2.0,0.0,6.1,6450000,Dennis-Yarmouth,2016
       213,1.4,92.5,0.5,0.9,0.0,4.7,6500000,Dighton-Rehoboth,2016
       102,2.0,87.3,1.0,0.0,0.0,9.8,770000,Douglas,2016
       178,0.0,97.2,0.0,0.0,0.0,2.8,6550000,Dover-Sherborn,2016
       252,3.6,93.3,0.8,0.4,0.0,2.0,790000,Dracut,2016
       280,3.6,91.1,0.4,1.4,0.0,3.6,6580000,Dudley-Charlton Reg,2016
       267,1.1,97.8,0.4,0.0,0.0,0.7,820000,Duxbury,2016
       147,3.4,95.2,0.0,1.4,0.0,0.0,830000,East Bridgewater,2016
       223,0.0,96.0,0.4,0.4,0.0,3.1,870000,East Longmeadow,2016
       114,6.1,87.7,1.8,0.0,0.0,4.4,860000,Easthampton,2016
       279,0.4,96.8,0.7,0.0,0.0,2.2,880000,Easton,2016
        75,5.3,86.7,1.3,0.0,0.0,6.7,4520000,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),2016
       236,0.4,97.5,0.4,0.0,0.0,1.7,8170000,Essex North Shore Agricultural and Technical School District,2016
       502,10.2,76.7,0.6,4.6,0.2,7.8,930000,Everett,2016
       182,3.3,91.8,0.5,0.5,0.0,3.8,940000,Fairhaven,2016
       679,15.8,71.7,1.6,6.0,0.0,4.9,950000,Fall River,2016
       207,5.8,87.0,3.9,0.0,0.0,3.4,960000,Falmouth,2016
       430,10.0,74.4,1.4,3.5,0.2,10.5,970000,Fitchburg,2016
        36,5.6,86.1,8.3,0.0,0.0,0.0,4130000,Four Rivers Charter Public (District),2016
       229,0.9,95.2,0.0,0.0,0.0,3.9,990000,Foxborough,2016
        64,0.0,100.0,0.0,0.0,0.0,0.0,4460000,Foxborough Regional Charter (District),2016
       534,4.9,84.8,0.2,1.9,0.0,8.2,1000000,Framingham,2016
        54,0.0,85.2,0.0,0.0,0.0,14.8,4780000,Francis W. Parker Charter Essential (District),2016
       419,0.7,95.7,0.0,0.0,0.0,3.6,1010000,Franklin,2016
       128,6.3,90.6,0.8,0.8,0.0,1.6,8180000,Franklin County Regional Vocational Technical,2016
       205,2.9,91.7,0.0,1.0,0.0,4.4,6650000,Freetown-Lakeville,2016
       104,1.0,91.3,2.9,0.0,0.0,4.8,6700000,Frontier,2016
       173,8.1,82.7,1.7,1.2,0.0,6.4,1030000,Gardner,2016
        71,5.6,88.7,2.8,1.4,0.0,1.4,6720000,Gateway,2016
       103,1.0,96.1,1.0,0.0,0.0,1.9,1050000,Georgetown,2016
        66,21.2,72.7,1.5,0.0,0.0,4.5,6740000,Gill-Montague,2016
        23,13.0,87.0,0.0,0.0,0.0,0.0,4960000,Global Learning Charter Public (District),2016
       240,7.5,86.7,1.7,0.0,0.0,4.2,1070000,Gloucester,2016
       220,3.6,90.9,1.4,0.5,0.0,3.6,1100000,Grafton,2016
        75,2.7,92.0,1.3,1.3,0.0,2.7,1110000,Granby,2016
       337,1.8,97.0,0.0,0.6,0.0,0.6,8210000,Greater Fall River Regional Vocational Technical,2016
       318,2.8,95.9,0.0,0.3,0.0,0.9,8230000,Greater Lawrence Regional Vocational Technical,2016
       486,1.6,93.6,0.2,1.0,0.0,3.5,8280000,Greater Lowell Regional Vocational Technical,2016
       528,5.1,93.2,0.0,0.0,0.0,1.7,8250000,Greater New Bedford Regional Vocational Technical,2016
       106,17.9,72.6,1.9,0.9,0.0,6.6,1140000,Greenfield,2016
       225,1.3,97.8,0.0,0.0,0.0,0.9,6730000,Groton-Dunstable,2016
        53,0.0,96.2,0.0,0.0,0.0,3.8,1170000,Hadley,2016
       165,0.6,97.6,0.6,0.0,0.0,1.2,6750000,Hamilton-Wenham,2016
        35,0.0,94.3,0.0,0.0,0.0,5.7,4990000,Hampden Charter School of Science (District),2016
       297,3.0,94.3,0.3,0.3,0.3,1.7,6800000,Hampden-Wilbraham,2016
       134,0.0,97.8,0.0,0.0,0.0,2.2,6830000,Hampshire,2016
       205,1.0,98.5,0.0,0.0,0.0,0.5,1220000,Hanover,2016
       104,1.9,94.2,0.0,0.0,0.0,3.8,1250000,Harvard,2016
        28,0.0,100.0,0.0,0.0,0.0,0.0,1270000,Hatfield,2016
       497,14.1,74.4,1.0,3.0,0.0,7.4,1280000,Haverhill,2016
       277,0.4,98.2,0.0,0.0,0.0,1.4,1310000,Hingham,2016
        83,8.4,83.1,1.2,0.0,0.0,7.2,1330000,Holbrook,2016
       219,1.4,93.2,0.5,0.9,0.0,4.1,1360000,Holliston,2016
       462,18.4,62.1,3.2,5.2,0.0,11.0,1370000,Holyoke,2016
        84,1.2,92.9,0.0,1.2,0.0,4.8,1380000,Hopedale,2016
       308,0.3,98.4,0.0,0.3,0.0,1.0,1390000,Hopkinton,2016
       199,4.0,88.9,1.0,0.0,0.5,5.5,1410000,Hudson,2016
        90,5.6,80.0,0.0,1.1,0.0,13.3,1420000,Hull,2016
        80,1.3,88.8,1.3,0.0,0.0,8.8,4350000,Innovation Academy Charter (District),2016
       134,2.2,94.0,0.7,0.7,0.0,2.2,1440000,Ipswich,2016
       374,1.3,94.9,0.3,0.8,0.0,2.7,6900000,King Philip,2016
        77,2.6,88.3,1.3,0.0,0.0,7.8,4290000,KIPP Academy Lynn Charter (District),2016
       919,10.7,71.4,0.8,5.3,0.0,11.9,1490000,Lawrence,2016
        65,3.1,87.7,3.1,0.0,0.0,6.2,1500000,Lee,2016
       116,2.6,85.3,1.7,0.9,0.0,9.5,1510000,Leicester,2016
        43,0.0,95.3,0.0,0.0,0.0,4.7,1520000,Lenox,2016
       412,3.6,88.1,1.0,1.9,0.0,5.3,1530000,Leominster,2016
       545,0.6,96.1,0.4,0.0,0.0,2.9,1550000,Lexington,2016
       395,0.0,95.7,0.0,0.3,0.0,4.1,6950000,Lincoln-Sudbury,2016
       112,0.0,94.6,0.0,0.0,0.0,5.4,1580000,Littleton,2016
       260,0.0,96.9,0.4,0.0,0.0,2.7,1590000,Longmeadow,2016
       755,5.7,78.8,2.0,3.6,0.0,9.9,1600000,Lowell,2016
        42,28.6,19.0,19.0,0.0,0.0,33.3,4580000,Lowell Middlesex Academy Charter (District),2016
       198,2.5,93.4,0.5,0.0,0.0,3.5,1610000,Ludlow,2016
        99,1.0,92.9,1.0,0.0,0.0,5.1,1620000,Lunenburg,2016
"     1,143",12.2,75.3,1.6,1.3,0.0,9.5,1630000,Lynn,2016
       165,0.0,98.8,0.6,0.0,0.0,0.6,1640000,Lynnfield,2016
        47,0.0,100.0,0.0,0.0,0.0,0.0,4680000,Ma Academy for Math and Science,2016
       467,5.1,82.9,1.5,1.5,0.0,9.0,1650000,Malden,2016
       115,0.9,97.4,0.0,0.0,0.9,0.9,6980000,Manchester Essex Regional,2016
       316,0.9,97.5,0.0,0.3,0.0,1.3,1670000,Mansfield,2016
       265,1.1,95.5,0.8,0.0,0.0,2.6,1680000,Marblehead,2016
       254,3.5,85.0,0.0,2.4,0.0,9.1,1700000,Marlborough,2016
       313,1.0,95.8,0.3,0.3,0.0,2.5,1710000,Marshfield,2016
       173,2.9,90.2,0.6,0.6,0.0,5.8,7000000,Martha's Vineyard,2016
         7,0.0,100.0,0.0,0.0,0.0,0.0,4660000,Martha's Vineyard Charter (District),2016
       368,0.8,96.5,0.5,0.0,0.0,2.2,7050000,Masconomet,2016
       104,4.8,88.5,0.0,0.0,0.0,6.7,1720000,Mashpee,2016
        45,28.9,40.0,6.7,0.0,0.0,24.4,39010000,Massachusetts Virtual Academy at Greenfield Commonwealth Virtual District,2016
        61,3.3,63.9,0.0,0.0,0.0,32.8,4690000,MATCH Charter Public School (District),2016
        86,3.5,86.0,1.2,3.5,1.2,4.7,1740000,Maynard,2016
       235,0.9,98.3,0.0,0.0,0.0,0.9,1750000,Medfield,2016
       372,4.3,80.4,2.4,1.1,0.0,11.8,1760000,Medford,2016
       214,0.9,95.3,0.5,0.0,0.0,3.3,1770000,Medway,2016
       245,2.0,94.7,0.0,0.0,0.0,3.3,1780000,Melrose,2016
       168,1.8,93.5,0.0,1.2,0.0,3.6,7100000,Mendon-Upton,2016
       491,5.7,86.6,1.0,2.4,0.0,4.3,1810000,Methuen,2016
       227,4.8,93.0,0.0,0.4,0.0,1.8,1820000,Middleborough,2016
       274,9.5,83.9,0.7,0.7,0.0,5.1,1850000,Milford,2016
       104,0.0,96.2,1.0,0.0,0.0,2.9,1860000,Millbury,2016
       100,4.0,93.0,1.0,0.0,0.0,2.0,1870000,Millis,2016
       237,0.4,94.5,0.4,0.0,0.0,4.6,1890000,Milton,2016
       158,1.9,88.0,0.6,0.0,0.0,9.5,8300000,Minuteman Regional Vocational Technical,2016
        83,7.2,81.9,4.8,0.0,0.0,6.0,7170000,Mohawk Trail,2016
       118,6.8,86.4,0.8,0.0,0.0,5.9,7120000,Monomoy Regional School District,2016
        92,2.2,95.7,0.0,0.0,0.0,2.2,1910000,Monson,2016
       345,0.3,98.6,0.0,0.0,0.0,1.2,8320000,Montachusett Regional Vocational Technical,2016
        81,1.2,92.6,2.5,0.0,0.0,3.7,7150000,Mount Greylock,2016
       104,1.0,99.0,0.0,0.0,0.0,0.0,4700000,Mystic Valley Regional Charter (District),2016
       128,4.7,82.0,0.0,1.6,0.0,11.7,1970000,Nantucket,2016
       100,6.0,84.0,1.0,3.0,0.0,6.0,7200000,Narragansett,2016
       276,3.3,94.2,1.1,0.4,0.0,1.1,7250000,Nashoba,2016
       156,1.9,96.8,0.0,0.0,0.0,1.3,8520000,Nashoba Valley Regional Vocational Technical,2016
       383,0.0,97.9,0.3,0.3,0.0,1.6,1980000,Natick,2016
       255,0.8,92.2,0.0,0.8,0.0,6.3,6600000,Nauset,2016
       418,0.0,97.1,0.2,0.0,0.2,2.4,1990000,Needham,2016
       622,17.0,60.1,1.4,8.2,0.0,13.2,2010000,New Bedford,2016
        26,76.9,11.5,11.5,0.0,0.0,0.0,4670000,New Liberty Charter School of Salem (District),2016
       181,0.6,95.6,0.6,0.0,0.0,3.3,2040000,Newburyport,2016
       962,0.1,97.3,0.0,0.1,0.1,2.4,2070000,Newton,2016
       112,0.0,100.0,0.0,0.0,0.0,0.0,9150000,Norfolk County Agricultural,2016
       121,8.3,81.0,0.8,0.8,0.0,9.1,2090000,North Adams,2016
       341,0.9,94.4,0.3,1.2,0.0,3.2,2110000,North Andover,2016
       300,2.7,94.0,0.0,0.3,0.0,3.0,2120000,North Attleborough,2016
        39,2.6,92.3,0.0,0.0,0.0,5.1,2150000,North Brookfield,2016
       250,1.6,92.8,0.4,1.2,0.0,4.0,7350000,North Middlesex,2016
       200,2.5,93.0,0.5,0.0,0.0,4.0,2170000,North Reading,2016
       237,2.5,92.4,1.7,1.7,0.0,1.7,2100000,Northampton,2016
       105,0.0,93.3,1.0,3.8,0.0,1.9,4060000,Northampton-Smith Vocational Agricultural,2016
       376,2.7,95.7,0.0,0.0,0.0,1.6,7300000,Northboro-Southboro,2016
       148,6.1,91.2,0.7,0.0,0.0,2.0,2140000,Northbridge,2016
       294,1.0,96.6,0.0,0.0,0.0,2.4,8530000,Northeast Metropolitan Regional Vocational Technical,2016
       122,0.8,96.7,0.8,0.0,0.0,1.6,8510000,Northern Berkshire Regional Vocational Technical,2016
       191,2.6,93.7,0.0,0.0,0.0,3.7,2180000,Norton,2016
       165,0.6,97.6,0.0,0.0,0.0,1.8,2190000,Norwell,2016
       276,3.6,93.1,0.4,0.0,0.0,2.9,2200000,Norwood,2016
       141,1.4,97.2,0.0,0.7,0.0,0.7,8550000,Old Colony Regional Vocational Technical,2016
       191,2.1,94.8,0.0,0.5,0.0,2.6,7400000,Old Rochester,2016
       125,2.4,88.8,0.8,3.2,0.0,4.8,2260000,Oxford,2016
       113,8.0,84.1,0.9,0.0,0.0,7.1,2270000,Palmer,2016
       147,2.7,90.5,0.7,2.0,0.0,4.1,8600000,Pathfinder Regional Vocational Technical,2016
        58,0.0,77.6,0.0,0.0,0.0,22.4,35010000,Paulo Freire Social Justice Charter School (District),2016
       448,4.7,86.6,0.9,0.2,0.0,7.6,2290000,Peabody,2016
       238,3.8,95.4,0.0,0.0,0.0,0.8,2310000,Pembroke,2016
       189,3.2,90.5,2.6,0.0,0.0,3.7,7450000,Pentucket,2016
        55,50.9,9.1,1.8,0.0,0.0,38.2,35080000,Phoenix Academy Public Charter High School Springfield (District),2016
        80,61.3,21.3,5.0,0.0,0.0,12.5,4930000,Phoenix Charter Academy (District),2016
        55,1.8,96.4,0.0,0.0,0.0,1.8,4940000,Pioneer Charter School of Science (District),2016
        62,3.2,96.8,0.0,0.0,0.0,0.0,7500000,Pioneer Valley,2016
        68,0.0,92.6,2.9,0.0,0.0,4.4,4790000,Pioneer Valley Performing Arts Charter Public (District),2016
       434,9.7,81.8,1.4,0.9,0.0,6.2,2360000,Pittsfield,2016
       633,3.6,89.6,1.3,0.6,0.0,4.9,2390000,Plymouth,2016
        78,0.0,92.3,0.0,0.0,0.0,7.7,4870000,Prospect Hill Academy Charter (District),2016
       204,6.4,85.8,2.0,0.0,0.0,5.9,7530000,Quabbin,2016
        93,0.0,89.2,2.2,0.0,0.0,8.6,7780000,Quaboag Regional,2016
       716,3.9,90.4,0.8,0.3,0.0,4.6,2430000,Quincy,2016
       186,8.1,79.0,3.2,0.5,0.0,9.1,7550000,Ralph C Mahar,2016
       206,3.9,81.1,1.9,2.4,0.0,10.7,2440000,Randolph,2016
       322,0.9,97.5,0.3,0.0,0.0,1.2,2460000,Reading,2016
       494,9.5,78.7,1.0,3.0,0.2,7.5,2480000,Revere,2016
        41,0.0,100.0,0.0,0.0,0.0,0.0,4830000,Rising Tide Charter Public (District),2016
       144,2.8,88.2,0.7,0.0,0.0,8.3,2510000,Rockland,2016
        80,3.8,93.8,1.3,0.0,0.0,1.3,2520000,Rockport,2016
       110,1.8,96.4,0.0,0.0,0.9,0.9,4410000,Sabis International Charter (District),2016
       272,6.3,83.1,0.7,1.5,0.0,8.5,2580000,Salem,2016
        47,2.1,87.2,0.0,0.0,0.0,10.6,4850000,Salem Academy Charter (District),2016
       176,2.8,92.0,0.0,1.7,0.0,3.4,2610000,Sandwich,2016
       191,8.4,86.4,1.6,0.0,0.0,3.7,2620000,Saugus,2016
       217,0.5,94.9,0.0,0.0,0.0,4.6,2640000,Scituate,2016
       156,0.6,91.7,1.9,0.0,0.0,5.8,2650000,Seekonk,2016
       332,1.2,94.6,1.2,0.0,0.0,3.0,2660000,Sharon,2016
       337,0.0,99.1,0.6,0.0,0.0,0.3,8710000,Shawsheen Valley Regional Vocational Technical,2016
       413,0.7,95.2,0.7,0.2,0.0,3.1,2710000,Shrewsbury,2016
       289,0.7,97.9,0.7,0.0,0.0,0.7,7600000,Silver Lake,2016
        34,11.8,58.8,5.9,0.0,0.0,23.5,4740000,Sizer School: A North Central Charter Essential (District),2016
       240,2.5,95.8,1.3,0.0,0.0,0.4,7630000,Somerset Berkley Regional School District,2016
       335,10.4,81.5,0.6,0.3,0.3,6.9,2740000,Somerville,2016
       141,3.5,93.6,0.0,0.7,0.0,2.1,2780000,South Hadley,2016
       164,3.0,93.9,0.6,0.0,0.0,2.4,8290000,South Middlesex Regional Vocational Technical,2016
        40,0.0,100.0,0.0,0.0,0.0,0.0,4880000,South Shore Charter Public (District),2016
       143,2.8,93.7,0.7,0.0,0.0,2.8,8730000,South Shore Regional Vocational Technical,2016
       146,14.4,71.2,1.4,7.5,0.0,5.5,2770000,Southbridge,2016
       301,1.0,97.0,0.7,0.3,0.0,1.0,8720000,Southeastern Regional Vocational Technical,2016
        59,5.1,94.9,0.0,0.0,0.0,0.0,7650000,Southern Berkshire,2016
       261,2.7,94.3,0.4,0.8,0.0,1.9,8760000,Southern Worcester County Regional Vocational Technical,2016
       164,6.1,90.9,1.2,0.0,0.0,1.8,7660000,Southwick-Tolland-Granville Regional School District,2016
       112,12.5,73.2,2.7,0.9,0.0,10.7,7670000,Spencer-E Brookfield,2016
"     1,739",15.0,68.8,1.6,5.9,0.1,8.6,2810000,Springfield,2016
       155,3.9,91.6,0.0,0.0,0.0,4.5,2840000,Stoneham,2016
       259,5.4,90.7,0.0,0.0,0.0,3.9,2850000,Stoughton,2016
       200,0.5,97.5,0.0,0.0,0.0,2.0,4890000,Sturgis Charter Public (District),2016
       113,1.8,94.7,0.9,0.0,0.0,2.7,2900000,Sutton,2016
       169,1.8,93.5,0.6,0.0,0.0,4.1,2910000,Swampscott,2016
       133,4.5,91.0,0.0,1.5,0.0,3.0,2920000,Swansea,2016
       294,1.7,93.5,0.3,0.3,0.0,4.1,7700000,Tantasqua,2016
       497,4.8,88.7,0.0,1.6,0.0,4.8,2930000,Taunton,2016
       138,29.7,31.2,12.3,0.0,0.0,26.8,39020000,TEC Connections Academy Commonwealth Virtual School District,2016
       257,3.1,92.6,1.9,0.0,0.0,2.3,2950000,Tewksbury,2016
       227,2.2,96.0,0.9,0.0,0.0,0.9,8780000,Tri County Regional Vocational Technical,2016
       184,2.7,89.7,2.2,2.7,0.0,2.7,7730000,Triton,2016
       134,2.2,94.0,0.0,0.0,0.0,3.7,3010000,Tyngsborough,2016
       164,0.0,99.4,0.0,0.0,0.0,0.6,8790000,Upper Cape Cod Regional Vocational Technical,2016
       151,7.3,82.1,1.3,1.3,0.0,7.9,3040000,Uxbridge,2016
       551,2.7,95.1,0.4,0.4,0.0,1.5,7750000,Wachusett,2016
       257,0.8,96.1,0.8,0.4,0.0,1.9,3050000,Wakefield,2016
       298,1.0,95.0,0.3,0.0,0.0,3.7,3070000,Walpole,2016
       357,5.3,84.6,0.6,2.2,0.0,7.3,3080000,Waltham,2016
        68,16.2,76.5,4.4,0.0,0.0,2.9,3090000,Ware,2016
       174,13.2,76.4,0.0,1.7,0.0,8.6,3100000,Wareham,2016
       187,7.0,85.6,0.0,0.5,0.0,7.0,3140000,Watertown,2016
       232,0.9,97.4,0.0,0.0,0.0,1.7,3150000,Wayland,2016
       115,24.3,65.2,0.9,0.9,0.9,7.8,3160000,Webster,2016
       385,0.8,96.1,0.0,0.8,0.0,2.3,3170000,Wellesley,2016
        62,6.5,88.7,0.0,0.0,0.0,4.8,3220000,West Boylston,2016
       112,1.8,97.3,0.0,0.0,0.0,0.9,3230000,West Bridgewater,2016
       310,5.8,85.8,0.3,2.6,0.0,5.5,3320000,West Springfield,2016
       259,1.9,96.5,0.4,0.4,0.0,0.8,3210000,Westborough,2016
       442,7.9,85.1,0.7,1.8,0.0,4.5,3250000,Westfield,2016
       421,0.5,97.4,0.2,0.0,0.0,1.9,3260000,Westford,2016
       197,0.0,93.9,0.0,0.5,0.0,5.6,3300000,Weston,2016
        85,2.4,87.1,4.7,2.4,0.0,3.5,3310000,Westport,2016
       212,0.0,97.6,0.5,0.0,0.0,1.9,3350000,Westwood,2016
       536,5.8,87.1,1.7,0.0,0.0,5.4,3360000,Weymouth,2016
       314,1.6,92.4,0.3,0.6,0.0,5.1,7800000,Whitman-Hanson,2016
       318,0.3,98.7,0.3,0.0,0.3,0.3,8850000,Whittier Regional Vocational Technical,2016
       210,1.4,93.3,1.0,0.0,0.0,4.3,3420000,Wilmington,2016
        88,10.2,81.8,0.0,0.0,0.0,8.0,3430000,Winchendon,2016
       319,0.6,96.9,0.3,0.3,0.0,1.9,3440000,Winchester,2016
       149,5.4,86.6,1.3,2.7,0.0,4.0,3460000,Winthrop,2016
       354,5.6,87.9,1.1,0.3,0.0,5.1,3470000,Woburn,2016
"     1,795",5.8,81.9,0.7,2.0,0.0,9.5,3480000,Worcester,2016
"    74,045",4.9,87.5,0.8,1.1,0.0,5.7,0,State Totals,2016
        82,1.2,97.6,1.2,0.0,0.0,0.0,4450000,Abby Kelley Foster Charter Public (District),2017
       100,3.0,95.0,0.0,0.0,0.0,2.0,10000,Abington,2017
        47,2.1,93.6,2.1,0.0,0.0,2.1,4120000,Academy Of the Pacific Rim Charter Public (District),2017
