grad_(%) in Cohort,grad_# Dropped Out,grad_# Graduated,grad_# H.S. Equiv.,grad_# Non-Grad Completers,grad_# Permanently Excluded,grad_# Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs ((%)),age_33-40 yrs ((%)),age_41-48 yrs ((%)),age_49-56 yrs ((%)),age_57-64 yrs ((%)),age_<26 yrs ((%) ),age_Over 64 yrs ((%)),prog_Career Technical Education ((%)),prog_English Learners ((%)),prog_General Education ((%)),prog_Special Education ((%)),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Reading / Writing,sat_Tests Taken,District Name,sat_Reading_Merged
       131,3.1,93.9,0.0,0.0,0.0,3.1,02920000,2017,"  $68,924",    159.0,"     $10,945,054",498.7,498.2,,40.0,47.0,"          $27,149,008.00","              $13,262.18","          $28,115,097.00","              $13,367.77","           2,047.1","           2,103.2",17.1,30.8,16.5,16.2,11.1,5.9,2.3,0.0,0.5,89.6,9.9,0.2,1.0,0.8,47.3,1.6,52.7,1.6,0.0,,94.9,549.0,,560.0,     112,Swansea,560.0
       341,2.3,95.6,0.0,0.0,0.0,2.1,07700000,2017,"  $80,279",    135.0,"     $10,840,905",499.1,505.8,,39.0,46.0,"          $24,753,717.00","              $13,735.28","          $24,917,946.00","              $13,568.91","           1,802.2","           1,836.4",8.8,19.1,23.1,25.0,19.1,1.1,3.8,9.5,0.4,89.6,0.6,0.2,1.1,0.5,50.5,4.5,49.5,2.6,0.0,,91.2,585.0,,566.0,     295,Tantasqua,566.0
       512,5.1,88.7,0.0,2.1,0.0,4.1,02930000,2017,"  $91,703",    451.0,"     $41,376,176",494.1,491.1,,47.0,45.5,"         $106,367,828.00","              $13,133.29","         $114,977,397.00","              $13,727.17","           8,099.1","           8,375.9",20.7,20.8,21.9,19.3,10.5,4.7,2.0,0.6,1.7,83.6,14.0,0.2,1.4,13.7,48.9,11.5,51.1,4.6,0.2,,68.4,513.0,,526.0,     536,Taunton,526.0
       233,35.6,32.6,12.0,0.0,0.0,19.7,39020000,2017,,,,489.7,482.9,,34.0,19.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.5,13.5,0.4,3.3,6.3,56.6,12.2,43.4,7.1,0.2,,70.5,528.0,,568.0,      54,TEC Connections Academy Commonwealth Virtual School District,568.0
       276,2.2,94.6,1.1,0.0,0.0,2.2,02950000,2017,"  $73,926",    259.0,"     $19,117,189",502.8,499.9,,54.5,47.5,"          $53,579,923.00","              $15,207.74","          $60,685,423.00","              $16,331.72","           3,523.2","           3,715.8",14.3,22.9,23.2,19.9,10.4,7.5,1.6,0.0,1.7,83.2,15.1,0.1,3.0,2.6,48.8,2.8,51.2,0.9,0.1,,90.6,550.0,,552.0,     285,Tewksbury,552.0
       235,2.1,97.0,0.0,0.0,0.0,0.9,08780000,2017,"  $84,552",     91.0,"      $7,728,023",,,,,,"          $19,308,746.00","              $18,309.07","          $19,308,746.00","              $18,309.07","           1,054.6","           1,054.6",9.2,22.5,21.5,29.1,13.7,1.3,2.6,50.7,0.0,41.6,7.7,0.4,0.7,0.4,44.9,4.6,55.0,4.5,0.2,,89.2,524.0,,535.0,     146,Tri-County Regional Vocational Technical,535.0
       185,5.9,86.5,2.7,0.0,0.0,4.9,07730000,2017,"  $74,350",    205.0,"     $15,204,610",501.3,496.3,,44.0,36.0,"          $39,707,649.00","              $15,685.42","          $44,075,078.00","              $16,322.89","           2,531.5","           2,700.2",9.1,17.5,27.1,19.2,21.6,4.3,1.1,0.0,1.0,87.1,11.9,0.1,1.9,1.1,49.3,2.4,50.6,1.7,0.2,,92.5,572.0,,562.0,     222,Triton,562.0
       131,0.8,97.7,0.0,0.0,0.0,1.5,03010000,2017,"  $78,556",    129.0,"     $10,125,859",500.5,500.6,,51.5,48.5,"          $24,023,101.00","              $14,189.66","          $26,877,584.00","              $14,620.10","           1,693.0","           1,838.4",21.8,25.6,22.6,19.7,7.2,2.7,0.4,0.0,0.0,86.8,13.2,0.1,6.1,2.9,48.9,4.3,51.1,3.0,0.0,,83.5,570.0,,552.0,     192,Tyngsborough,552.0
       167,0.6,97.6,0.6,0.0,0.0,1.2,08790000,2017,"  $72,208",     75.0,"      $5,426,459",,,,,,"          $16,167,746.00","              $20,645.83","          $16,184,996.00","              $20,575.89",             783.1,             786.6,15.0,10.1,22.3,31.0,13.3,5.0,3.3,0.0,0.0,91.3,8.7,0.6,1.7,4.4,38.2,1.4,61.8,4.4,0.0,,87.6,530.0,,537.0,     114,Upper Cape Cod Regional Vocational Technical,537.0
       162,9.3,84.6,0.6,0.0,0.0,5.6,03040000,2017,"  $73,790",    131.0,"      $9,644,416",500.1,499.7,,58.0,60.0,"          $25,552,192.00","              $13,923.38","          $29,969,686.00","              $14,432.79","           1,835.2","           2,076.5",6.7,17.2,26.4,20.5,21.2,5.3,2.8,0.0,0.8,82.1,17.2,0.4,1.5,1.1,46.6,3.8,53.4,2.0,0.1,,91.2,533.0,,548.0,     120,Uxbridge,548.0
       516,1.2,95.3,1.0,0.0,0.0,2.5,07750000,2017,"  $70,989",    475.0,"     $33,697,443",508.2,507.4,,60.0,59.0,"          $84,706,178.00","              $11,559.25","          $93,052,188.00","              $12,321.04","           7,328.0","           7,552.3",17.1,25.8,21.8,17.9,12.1,3.5,1.7,1.9,0.9,85.1,12.1,0.1,3.0,1.9,49.7,4.8,50.3,2.1,0.1,,88.0,576.0,,580.0,     631,Wachusett,580.0
       238,0.8,95.4,0.0,0.8,0.0,2.9,03050000,2017,"  $73,902",    266.0,"     $19,637,358",499.3,500.7,,43.0,52.0,"          $49,422,977.00","              $14,056.19","          $54,455,375.00","              $14,986.21","           3,516.1","           3,633.7",23.8,24.9,18.4,14.1,12.9,3.0,2.8,1.2,1.4,87.9,9.5,0.1,3.2,2.5,49.7,5.4,50.3,2.7,0.2,,85.9,561.0,,562.0,     344,Wakefield,562.0
       278,0.4,96.8,0.0,0.0,0.0,2.9,03070000,2017,"  $73,201",    289.0,"     $21,140,530",506.6,507.0,,56.0,55.0,"          $54,889,439.00","              $14,218.59","          $59,726,707.00","              $15,049.44","           3,860.4","           3,968.7",14.9,18.2,24.7,24.8,13.3,3.2,0.9,0.0,1.2,86.2,12.6,0.3,5.9,3.8,49.3,5.1,50.7,1.8,0.0,,83.0,562.0,,572.0,     418,Walpole,572.0
       401,7.5,83.5,0.2,4.0,0.0,4.7,03080000,2017,"  $78,311",    498.0,"     $39,008,945",498.7,496.0,,60.0,58.0,"         $108,246,868.00","              $19,786.30","         $116,926,048.00","              $20,619.70","           5,470.8","           5,670.6",24.9,25.9,18.0,13.6,10.6,6.4,0.5,4.2,5.5,79.6,10.7,0.1,5.7,9.7,47.4,37.5,52.6,2.7,0.1,,44.1,526.0,,523.0,     394,Waltham,523.0
        75,5.3,82.7,4.0,0.0,0.0,8.0,03090000,2017,"  $64,329",     90.0,"      $5,763,875",490.9,488.2,,36.0,46.0,"          $16,677,339.00","              $13,873.50","          $19,205,967.00","              $13,783.53","           1,202.1","           1,393.4",17.5,25.2,22.5,17.2,11.0,6.7,0.0,0.0,1.3,79.4,19.3,0.2,0.7,2.0,48.5,8.0,51.5,4.6,0.2,,84.3,555.0,,528.0,      49,Ware,528.0
       173,17.3,69.4,0.0,1.2,0.0,12.1,03100000,2017,"  $73,938",    189.0,"     $13,959,441",492.6,487.2,,57.0,38.0,"          $37,378,867.00","              $15,244.24","          $43,416,570.00","              $15,681.78","           2,452.0","           2,768.6",11.2,15.7,22.2,29.8,13.4,3.8,4.0,0.9,1.1,78.0,20.0,1.1,1.0,7.5,48.2,7.2,51.8,10.0,0.1,,73.2,521.0,,538.0,     100,Wareham,538.0
       172,3.5,91.9,0.6,0.0,0.0,4.1,03140000,2017,"  $85,372",    239.0,"     $20,386,914",498.9,496.2,,55.0,45.0,"          $50,971,552.00","              $19,624.82","          $58,004,878.00","              $21,148.05","           2,597.3","           2,742.8",27.1,25.0,14.8,13.5,12.6,5.9,1.2,0.0,5.3,76.4,18.2,0.5,7.8,3.5,49.0,12.9,51.0,4.7,0.1,,70.6,564.0,,550.0,     192,Watertown,550.0
       200,0.5,97.5,0.0,0.0,0.0,2.0,03150000,2017,"  $96,103",    207.0,"     $19,873,999",510.7,513.5,,65.0,63.0,"          $47,140,150.00","              $17,695.25","          $50,123,035.00","              $18,470.37","           2,664.0","           2,713.7",12.4,22.5,36.6,15.4,9.8,2.6,0.7,0.1,1.4,83.0,15.6,0.0,15.1,5.4,48.8,4.5,51.2,5.5,0.3,,69.3,635.0,,620.0,     239,Wayland,620.0
       111,18.9,72.1,2.7,0.0,0.0,6.3,03160000,2017,"  $72,290",    133.0,"      $9,621,852",482.4,478.5,,33.0,35.0,"          $26,539,058.00","              $14,301.37","          $30,100,058.00","              $14,648.66","           1,855.7","           2,054.8",22.5,23.1,23.4,17.0,8.5,4.5,0.9,0.0,3.0,82.0,14.9,0.2,1.9,4.5,48.9,22.2,51.1,5.8,0.2,,65.2,528.0,,529.0,      98,Webster,529.0
       358,0.6,96.4,0.0,0.0,0.0,3.1,03170000,2017,"  $91,478",    385.0,"     $35,203,013",512.0,511.0,,57.0,61.0,"          $92,260,975.00","              $18,480.28","         $100,234,871.00","              $19,823.37","           4,992.4","           5,056.4",20.6,27.7,26.3,14.8,6.3,2.6,1.8,0.0,1.0,90.4,8.6,0.0,12.6,4.5,50.6,4.9,49.4,6.0,0.0,,71.9,611.0,,613.0,     391,Wellesley,613.0
        62,3.2,93.5,0.0,0.0,0.0,3.2,03220000,2017,"  $73,218",     82.0,"      $6,018,546",505.0,503.6,,65.0,54.0,"          $13,458,909.00","              $14,829.12","          $16,568,299.00","              $15,935.65",             907.6,"           1,039.7",21.8,11.7,29.9,24.2,8.9,3.0,0.6,0.3,1.8,95.2,2.7,0.1,1.0,1.5,50.9,10.2,49.1,3.7,0.0,,83.5,543.0,,559.0,      82,West Boylston,559.0
        98,0.0,96.9,0.0,1.0,0.0,2.0,03230000,2017,"  $75,743",     90.0,"      $6,786,683",501.2,499.4,,50.0,47.0,"          $15,462,006.00","              $12,044.88","          $16,878,268.00","              $12,774.95","           1,283.7","           1,321.2",12.9,39.9,20.6,8.3,14.7,3.6,0.0,0.0,0.0,100.0,0.0,0.2,1.2,3.0,52.4,3.4,47.6,2.8,0.2,,89.2,537.0,,553.0,     126,West Bridgewater,553.0
       310,5.2,89.4,0.6,0.0,0.0,4.8,03320000,2017,"  $67,259",    322.0,"     $21,630,529",496.3,499.6,,46.0,44.5,"          $53,293,905.00","              $13,003.27","          $59,115,314.00","              $13,885.64","           4,098.5","           4,257.3",18.5,20.6,23.1,17.7,13.7,3.4,3.0,0.0,1.0,94.6,4.5,0.1,7.2,3.6,48.1,16.5,51.9,2.5,0.0,,70.0,541.0,,543.0,     221,West Springfield,543.0
       242,0.4,98.3,0.0,0.0,0.0,1.2,03210000,2017,"  $78,251",    303.0,"     $23,701,734",510.1,512.1,,61.0,55.0,"          $55,561,009.00","              $14,472.78","          $60,297,114.00","              $15,494.97","           3,839.0","           3,891.4",12.3,20.9,28.2,23.0,10.8,3.5,1.4,0.0,0.2,98.4,1.4,0.1,30.9,1.6,49.3,5.8,50.7,3.0,0.1,,58.4,616.0,,605.0,     342,Westborough,605.0
       443,5.4,86.5,0.5,2.7,0.0,5.0,03250000,2017,"  $70,275",    422.0,"     $29,676,999",496.8,498.3,,52.0,50.0,"          $74,994,285.00","              $13,590.85","          $80,996,336.00","              $14,078.97","           5,518.0","           5,753.0",10.8,17.2,26.8,22.4,17.5,3.7,1.7,7.1,1.1,83.8,8.0,0.1,2.9,2.3,48.9,13.2,51.1,2.0,0.1,,79.4,546.0,,564.0,     299,Westfield,564.0
       407,0.5,97.1,0.2,0.0,0.0,2.2,03260000,2017,"  $80,072",    364.0,"     $29,138,267",508.9,515.2,,44.0,54.0,"          $68,010,355.00","              $13,308.49","          $72,658,354.00","              $14,020.48","           5,110.3","           5,182.3",12.7,28.8,31.4,15.8,8.2,2.2,1.0,0.0,0.9,90.8,8.2,0.2,24.3,0.8,49.4,1.2,50.6,3.5,0.0,,69.9,638.0,,620.0,     523,Westford,620.0
       179,0.0,98.9,0.0,0.0,0.0,1.1,03300000,2017,"  $99,887",    191.0,"     $19,118,386",511.5,514.0,,53.0,57.0,"          $50,644,828.00","              $23,469.50","          $53,095,848.00","              $24,225.87","           2,157.9","           2,191.7",12.1,32.3,30.1,12.3,9.3,0.8,3.1,0.0,1.6,84.5,14.0,0.3,15.0,6.5,49.1,5.9,50.9,5.1,0.0,,67.2,636.0,,628.0,     142,Weston,628.0
        86,5.8,94.2,0.0,0.0,0.0,0.0,03310000,2017,"  $81,298",    107.0,"      $8,671,744",499.8,501.1,,45.0,50.0,"          $21,094,895.00","              $14,511.17","          $23,039,610.00","              $14,851.81","           1,453.7","           1,551.3",12.4,32.1,20.4,25.7,7.7,1.1,0.6,0.0,0.0,82.9,17.1,0.3,0.9,0.3,45.2,3.3,54.8,4.1,0.0,,91.1,528.0,,557.0,      75,Westport,557.0
       257,0.4,96.1,0.4,0.0,0.0,3.1,03350000,2017,"  $92,716",    235.0,"     $21,778,942",512.5,511.5,,54.0,59.0,"          $54,422,704.00","              $17,306.17","          $55,798,962.00","              $17,594.98","           3,144.7","           3,171.3",19.8,23.8,28.2,13.8,6.9,7.0,0.5,0.0,0.3,93.7,6.0,0.0,9.1,2.3,49.7,3.4,50.3,2.9,0.0,,82.2,602.0,,591.0,     339,Westwood,591.0
       511,5.3,86.3,1.6,0.2,0.0,6.7,03360000,2017,"  $80,599",    423.0,"     $34,109,341",497.1,495.7,,41.0,43.0,"          $86,229,549.00","              $13,920.34","          $96,570,567.00","              $14,837.84","           6,194.5","           6,508.4",17.9,28.2,22.5,16.0,11.4,2.4,1.6,4.1,1.7,77.5,16.8,0.2,5.7,6.1,48.9,7.9,51.1,3.3,0.1,,76.7,532.0,,549.0,     445,Weymouth,549.0
       297,0.7,95.6,0.0,0.0,0.0,3.7,07800000,2017,"  $81,311",    254.0,"     $20,636,761",497.4,498.2,,51.0,57.0,"          $48,307,466.00","              $12,175.79","          $51,773,765.00","              $12,749.65","           3,967.5","           4,060.8",23.1,26.3,19.6,14.7,8.8,5.5,2.1,0.0,0.0,90.7,9.3,0.4,1.0,2.0,49.0,3.9,51.0,2.4,0.1,,90.3,532.0,,549.0,     358,Whitman-Hanson,549.0
       337,0.6,99.1,0.3,0.0,0.0,0.0,08850000,2017,"  $83,936",    113.0,"      $9,501,520",,,,,,"          $24,322,695.00","              $19,069.15","          $24,406,398.00","              $19,083.90","           1,275.5","           1,278.9",16.5,17.7,13.3,26.2,18.2,0.0,8.2,35.8,0.3,61.3,2.7,0.2,1.1,1.5,45.4,18.3,54.6,2.8,0.0,,76.0,507.0,,519.0,     218,Whittier Regional Vocational Technical,519.0
       233,1.3,96.6,0.0,0.9,0.0,1.3,03420000,2017,"  $76,087",    275.0,"     $20,950,231",504.1,504.7,,53.0,54.0,"          $51,227,228.00","              $15,157.78","          $58,295,693.00","              $16,859.67","           3,379.6","           3,457.7",18.3,29.0,23.5,15.0,8.7,3.4,1.9,2.3,0.6,83.5,13.7,0.1,4.7,1.5,49.0,4.1,51.0,2.9,0.0,,86.6,557.0,,562.0,     323,Wilmington,562.0
        82,11.0,76.8,1.2,1.2,0.0,9.8,03430000,2017,"  $70,777",     98.0,"      $6,921,965",491.2,487.5,,38.0,32.0,"          $17,669,316.00","              $13,965.63","          $20,624,168.00","              $13,975.85","           1,265.2","           1,475.7",9.5,12.4,30.9,22.8,11.9,9.8,2.6,0.0,0.5,98.0,1.5,0.2,2.5,1.6,46.2,6.0,53.8,3.0,0.1,,86.6,538.0,,540.0,      26,Winchendon,540.0
       274,0.0,98.5,0.0,0.0,0.0,1.5,03440000,2017,"  $75,752",    356.0,"     $26,953,311",514.1,516.7,,64.0,68.0,"          $59,227,352.00","              $12,894.57","          $63,118,252.00","              $13,547.31","           4,593.2","           4,659.1",21.3,22.2,17.1,20.5,11.6,4.4,2.9,0.0,2.0,88.7,9.3,0.2,16.5,1.0,50.1,3.2,49.9,5.3,0.0,,73.7,631.0,,607.0,     377,Winchester,607.0
       131,6.9,82.4,3.1,2.3,0.0,5.3,03460000,2017,"  $66,950",    152.0,"     $10,176,375",499.1,499.5,,43.0,56.0,"          $25,953,566.00","              $13,153.70","          $27,899,680.00","              $13,875.61","           1,973.1","           2,010.7",30.6,19.6,16.3,11.6,8.6,10.9,2.4,0.0,0.0,96.3,3.7,0.2,0.9,1.4,48.6,13.3,51.4,2.0,0.0,,82.2,530.0,,536.0,     142,Winthrop,536.0
       319,3.4,90.0,0.3,1.3,0.0,5.0,03470000,2017,"  $79,061",    378.0,"     $29,916,501",499.1,499.3,,39.0,44.0,"          $75,076,429.00","              $16,094.59","          $80,094,640.00","              $16,613.01","           4,664.7","           4,821.2",17.1,26.6,19.3,17.4,15.5,1.1,3.1,0.0,2.5,85.8,11.7,0.4,7.4,6.8,50.0,9.4,50.0,2.8,0.1,,73.1,557.0,,549.0,     383,Woburn,549.0
"     1,759",6.6,83.3,0.9,1.1,0.0,8.0,03480000,2017,"  $77,569","  1,813.0","    $140,665,144",490.8,488.2,,50.0,49.0,"         $350,390,959.00","              $13,821.20","         $401,987,529.00","              $14,125.59","          25,351.7","          28,458.1",14.9,17.7,25.9,22.4,12.8,4.8,1.5,4.2,5.2,89.9,0.7,0.2,7.4,15.4,48.6,41.8,51.4,4.1,0.0,,31.1,480.0,,477.0,"   2,153",Worcester,477.0
"    73,249",4.9,88.3,0.7,1.2,0.0,5.0,00000000,2017,"  $78,670"," 69,643.0","  $5,478,845,585",499.1,498.8,,50.0,50.0,"      $14,658,903,651.28","              $15,370.51","      $16,381,070,947.28","              $15,923.55","         953,702.9","       1,028,732.1",19.4,22.4,21.8,17.8,11.4,5.5,1.7,2.6,2.0,83.9,11.5,0.2,6.7,8.9,48.7,19.4,51.3,3.4,0.1,,61.3,552.0,,552.0,"  72,998",State Totals,552.0
        91,1.1,98.9,0.0,0.0,0.0,0.0,04450000,2018,,,,497.3,494.6,,48.7,52.9,"          $20,082,710.55","              $14,094.02","          $20,082,710.55","              $14,094.02","           1,424.9","           1,424.9",28.2,26.3,13.9,10.7,12.5,8.4,0.0,0.0,3.7,84.2,12.1,0.1,4.1,49.8,53.5,22.3,46.5,2.8,0.1,,20.8,526.0,,536.0,     119,Abby Kelley Foster Charter Public (District),536.0
       134,1.5,91.8,0.0,0.0,0.0,6.7,00010000,2018,"  $85,917",    124.0,"     $10,610,746",502.3,498.7,,50.2,47.3,"          $27,401,268.06","              $13,461.69","          $31,082,174.03","              $14,527.10","           2,035.5","           2,139.6",13.2,23.8,21.8,24.3,11.0,4.4,1.6,0.0,1.6,94.2,4.2,0.3,2.0,3.1,49.5,7.9,50.5,0.7,0.1,,85.9,535.0,,550.0,     139,Abington,550.0
        37,0.0,97.3,2.7,0.0,0.0,0.0,04120000,2018,,,,497.3,492.3,,57.7,52.9,"          $10,228,767.00","              $19,478.91","          $10,228,767.00","              $19,478.91",             525.1,             525.1,39.9,20.5,3.2,0.0,2.1,34.4,0.0,0.0,2.6,80.9,16.5,0.0,1.3,59.7,50.8,27.9,49.2,2.1,0.2,,8.8,,,,       2,Academy Of the Pacific Rim Charter Public (District),
       460,0.7,96.1,0.4,0.0,0.0,2.8,06000000,2018,"  $84,822",    372.0,"     $31,536,769",513.3,512.7,,58.9,58.8,"          $81,006,084.03","              $14,382.42","          $90,445,893.59","              $15,697.78","           5,632.3","           5,761.7",14.9,19.5,27.9,18.4,15.6,2.0,1.6,0.0,2.0,88.6,9.4,0.2,32.6,2.3,48.3,4.5,51.7,4.2,0.1,,56.1,684.0,,656.0,     419,Acton-Boxborough,656.0
        83,3.6,88.0,3.6,0.0,0.0,4.8,06030000,2018,"  $82,426",     82.0,"      $6,775,396",493.9,486.6,,51.7,41.2,"          $18,900,557.75","              $15,721.64","          $21,089,177.35","              $14,871.43","           1,202.2","           1,418.1",13.2,23.4,26.7,27.6,2.8,6.4,0.0,0.0,0.0,100.0,0.0,0.2,0.9,4.4,49.5,2.5,50.5,1.6,0.1,,90.3,522.0,,522.0,      76,Adams-Cheshire,522.0
       102,0.0,99.0,0.0,0.0,0.0,1.0,04300000,2018,,,,510.0,509.3,,53.5,47.4,"          $14,976,389.43","              $15,125.37","          $14,976,389.43","              $15,125.37",             990.2,             990.2,20.4,16.0,18.5,23.7,12.6,7.5,1.2,0.0,0.5,95.8,3.7,0.2,17.4,1.9,47.6,5.4,52.4,6.8,0.0,,68.2,676.0,,631.0,     156,Advanced Math and Science Academy Charter (District),631.0
       291,3.8,93.1,0.7,0.0,0.0,2.4,00050000,2018,"  $74,116",    325.0,"     $24,109,895",499.0,500.3,,46.8,48.0,"          $61,066,265.11","              $15,902.67","          $66,245,259.79","              $16,747.21","           3,840.0","           3,955.6",18.1,27.7,20.5,16.9,12.3,2.7,1.9,0.4,1.5,90.8,7.2,0.0,3.0,2.3,47.9,7.8,52.1,2.6,0.1,,84.3,555.0,,548.0,     245,Agawam,548.0
       160,6.9,83.1,0.6,0.6,0.0,8.8,00070000,2018,"  $76,770",    168.0,"     $12,882,002",498.5,495.1,,42.8,44.3,"          $33,209,080.50","              $15,645.47","          $37,327,984.50","              $16,455.64","           2,122.6","           2,268.4",14.6,16.5,23.2,21.9,20.6,1.8,1.3,0.0,0.9,84.0,15.1,0.2,1.1,1.6,46.5,7.2,53.5,3.5,0.1,,86.2,574.0,,571.0,     148,Amesbury,571.0
       234,2.1,90.6,1.7,0.0,0.0,5.6,06050000,2018,"  $84,610",    114.0,"      $9,670,870",500.6,500.4,,49.7,42.3,"          $29,334,476.00","              $21,863.66","          $33,478,446.57","              $22,150.62","           1,341.7","           1,511.4",9.3,21.0,30.5,22.1,16.0,0.7,0.4,0.0,2.3,76.5,21.2,0.1,9.2,7.1,48.6,16.2,51.3,9.0,0.2,,58.2,591.0,,604.0,     193,Amherst-Pelham,604.0
       431,0.5,94.4,0.7,0.2,0.0,4.2,00090000,2018,"  $85,092",    484.0,"     $41,150,023",509.4,507.9,,53.2,56.7,"         $100,499,377.00","              $16,876.19","         $109,339,466.27","              $17,985.83","           5,955.1","           6,079.2",13.5,23.1,22.4,22.6,14.2,2.9,1.2,0.0,2.8,77.0,20.2,0.2,18.3,2.1,49.9,5.5,50.0,2.6,0.0,,71.3,603.0,,600.0,     512,Andover,600.0
       330,2.1,93.0,1.2,0.0,0.3,3.3,00100000,2018,"  $75,090",    405.0,"     $30,389,114",511.2,507.5,,53.4,54.2,"          $76,491,851.22","              $13,389.79","          $85,549,467.08","              $14,594.15","           5,712.7","           5,861.9",22.1,23.9,25.4,13.7,7.3,5.8,1.6,0.0,2.2,93.5,4.3,0.1,12.5,3.7,49.5,6.4,50.4,5.2,0.2,,72.0,602.0,,610.0,     404,Arlington,610.0
       180,1.1,95.6,0.0,0.0,0.0,3.3,06100000,2018,"  $69,127",    161.0,"     $11,157,131",501.2,499.4,,52.5,48.7,"          $29,429,291.99","              $12,388.15","          $30,732,880.08","              $12,523.08","           2,375.6","           2,454.1",15.7,17.0,26.5,20.1,13.9,6.0,0.7,0.0,1.3,86.2,12.5,0.0,0.8,0.6,49.9,4.2,50.1,1.8,0.0,,92.6,547.0,,549.0,     209,Ashburnham-Westminster,549.0
       186,1.1,94.6,1.1,0.5,0.0,2.7,00140000,2018,"  $79,628",    201.0,"     $15,997,243",507.2,505.2,,55.9,58.1,"          $37,488,089.02","              $13,571.82","          $41,303,475.60","              $14,469.60","           2,762.2","           2,854.5",14.7,26.0,23.0,17.2,12.4,6.0,0.8,0.0,1.9,85.4,12.7,0.6,13.9,2.2,50.3,10.7,49.6,3.3,0.0,,69.3,605.0,,581.0,     211,Ashland,581.0
       256,0.8,95.3,0.8,0.0,0.0,3.1,08010000,2018,"  $73,886",    116.0,"      $8,563,439",,,,,,"          $22,862,408.00","              $20,075.88","          $22,950,059.23","              $20,135.16","           1,138.8","           1,139.8",17.4,25.1,19.7,23.0,13.1,0.5,1.1,39.3,0.9,48.2,11.6,0.4,0.4,0.6,40.4,14.1,59.5,2.3,0.0,,82.2,498.0,,513.0,     172,Assabet Valley Regional Vocational Technical,513.0
       113,8.0,75.2,2.7,2.7,0.0,11.5,06150000,2018,"  $64,604",    110.0,"      $7,074,113",492.4,490.0,,54.7,52.0,"          $21,625,737.02","              $14,439.30","          $26,165,146.14","              $13,888.08","           1,497.7","           1,884.0",19.6,14.9,33.2,20.7,6.7,3.7,1.2,0.0,0.0,84.2,15.8,0.0,1.1,1.5,47.7,8.7,52.3,3.7,0.0,,85.0,515.0,,531.0,      35,Athol-Royalston,531.0
        43,2.3,88.4,0.0,4.7,0.0,4.7,04910000,2018,,,,497.3,494.9,,46.0,39.5,"          $15,453,770.00","              $12,774.14","          $15,453,770.00","              $12,774.14","           1,209.8","           1,209.8",31.5,16.3,13.2,5.4,4.8,27.2,1.6,8.6,4.1,79.9,7.4,0.1,1.7,5.0,53.1,10.8,46.9,4.0,0.0,,78.4,494.0,,523.0,      50,Atlantis Charter (District),523.0
       432,3.2,90.5,0.0,0.7,0.0,5.6,00160000,2018,"  $83,792",    380.0,"     $31,824,218",501.8,497.5,,50.3,48.5,"          $78,205,508.73","              $13,296.19","          $86,732,845.92","              $13,659.15","           5,881.8","           6,349.8",13.5,25.6,25.1,13.0,14.3,5.3,3.2,5.0,2.4,75.5,17.1,0.3,4.7,5.5,47.4,14.2,52.6,6.4,0.1,,68.8,546.0,,555.0,     380,Attleboro,555.0
       172,2.9,93.0,1.2,0.6,0.0,2.3,00170000,2018,"  $74,150",    180.0,"     $13,339,572",503.2,500.7,,43.2,47.6,"          $34,387,611.21","              $13,267.85","          $35,654,327.15","              $13,463.61","           2,591.8","           2,648.2",26.0,18.5,25.4,19.2,7.9,3.0,0.0,0.0,0.0,96.5,3.5,0.1,4.1,1.8,50.0,8.2,50.0,3.4,0.0,,82.5,540.0,,551.0,     193,Auburn,551.0
        41,4.9,87.8,0.0,2.4,0.0,4.9,00180000,2018,"  $73,678",     68.0,"      $5,039,595",501.9,495.5,,48.4,48.3,"          $11,523,146.00","              $15,924.75","          $12,450,158.54","              $16,722.85",             723.6,             744.5,17.9,31.2,25.2,10.0,10.4,3.7,1.7,0.0,1.5,84.4,14.1,0.6,4.4,28.5,46.3,8.0,53.4,4.4,0.0,,54.1,497.0,,513.0,      38,Avon,513.0
        93,6.5,91.4,0.0,1.1,0.0,1.1,06160000,2018,"  $63,017",    137.0,"      $8,601,819",497.8,494.8,,46.1,50.1,"          $24,145,636.92","              $14,261.20","          $28,813,991.93","              $14,828.88","           1,693.1","           1,943.1",23.0,20.9,21.9,16.6,9.3,6.5,1.9,0.0,2.0,78.9,19.0,0.5,2.6,4.5,48.2,10.3,51.8,5.3,0.4,,76.4,551.0,,554.0,     104,Ayer Shirley School District,554.0
